#{"t_start": 1764081868.5235157, "env_id": "None"}
r,l,t
-37.015,32,15.116918
-43.7,32,15.137755
-36.65,27,15.148711
-45.75,35,15.171212
-42.93,33,15.183896
-33.2,24,15.201329
-35.55,25,15.211331
-52.9,47,15.23983
-43.9,36,15.262341
-39.45,26,15.272337
-32.8,26,15.281334
-43.8,35,15.303033
-33.3,29,15.313112
-33.85,27,15.337229
-36.85,29,15.347386
-30.68,22,15.364823
-37.8,31,15.375784
-39.7,32,15.403732
-41.58,33,15.424435
-43.65,38,15.449937
-34.13,27,15.465017
-41.45,30,15.490248
-38.55,31,15.50491
-40.45,31,15.523471
-28.83,20,15.531471
-41.2,31,15.542592
-36.28,26,15.559612
-26.06,19,15.567154
-39.6,33,15.587229
-35.45,24,15.596271
-47.4,38,15.609402
-34.95,27,15.629728
-35.1,25,15.64086
-46.4,39,15.664958
-35.05,23,15.67349
-35.63,24,15.689495
-41.7,29,15.699489
-35.93,26,15.719267
-42.55,30,15.732908
-33.85,24,15.741908
-32.25,25,15.762976
-36.25,27,15.77583
-29.23,20,15.783954
-40.15,27,15.80361
-45.1,35,15.815234
-40.45,28,15.835549
-32.75,25,15.845214
-30.5,23,15.863234
-39.3,24,15.871809
-31.1,24,15.880718
-33.85,27,15.898323
-42.9,33,15.91047
-37.55,27,15.931051
-37.6,31,15.94292
-31.05,20,15.960886
-34.4,28,15.972118
-33.0,26,15.981537
-39.25,30,16.011728
-31.95,25,16.022437
-38.6,28,16.045453
-28.63,20,16.052474
-34.95,27,16.063595
-37.05,23,16.081422
-34.3,26,16.091425
-36.15,25,16.108995
-37.5,30,16.120612
-33.15,25,16.131597
-35.35,24,16.149031
-35.7,26,16.160496
-38.55,30,16.181059
-40.7,35,16.196063
-30.65,22,16.214786
-34.75,25,16.232634
-37.6,29,16.254696
-30.4,23,16.277184
-31.95,24,16.290903
-34.45,25,16.307935
-40.55,30,16.324517
-42.1,34,16.346516
-47.1,37,16.360548
-38.4,31,16.380694
-28.98,18,16.388408
-32.4,26,16.401448
-36.25,27,16.420634
-43.05,36,16.434474
-44.05,35,16.455309
-33.55,23,16.463309
-37.4,28,16.484689
-35.55,26,16.50025
-38.05,31,16.521475
-36.9,28,16.532614
-35.95,25,16.54153
-44.15,33,16.563
-34.25,25,16.571606
-40.95,33,16.592967
-40.75,30,16.604119
-33.65,24,16.619902
